Theme,Keyword,Mood,Score
분위기,대화하기 좋아요,Plus,0.35
분위기,차분한 분위기에요,Plus,0.25
분위기,음악이 좋아요,Plus,0.15
분위기,아늑해요,Plus,0.15
분위기,컨셉이 독특해요,Plus,0.1
분위기,집중하기 좋아요,Minus,0.3
외향적 공간 구성,좌석이 편해요,Plus,0.3
외향적 공간 구성,매장이 넓어요,Plus,0.2
외향적 공간 구성,룸이 잘 되어있어요,Plus,0.15
외향적 공간 구성,야외공간이 멋져요,Plus,0.15
외향적 공간 구성,오래 머무르기 좋아요,Plus,0.2
외향적 공간 구성,읽을만한 책이 많아요,Minus,0.2
프라이버시,룸이 잘 되어있어요,Plus,0.4
프라이버시,단체모임 하기 좋아요,Plus,0.3
프라이버시,매장이 넓어요,Plus,0.3
프라이버시,사진이 잘 나와요,Minus,0.25
서비스,커피가 맛있어요,Plus,0.3
서비스,디저트가 맛있어요,Plus,0.2
서비스,친절해요,Plus,0.25
서비스,매장이 청결해요,Plus,0.25
단체모임,단체모임 하기 좋아요,Plus,0.35
단체모임,룸이 잘 되어있어요,Plus,0.25
단체모임,대화하기 좋아요,Plus,0.2
단체모임,매장이 넓어요,Plus,0.15
단체모임,음식이 맛있어요,Plus,0.05
단체모임,포장이 깔끔해요,Minus,0.2
가성비,가성비가 좋아요,Plus,0.4
가성비,오래 머무르기 좋아요,Plus,0.3
가성비,양이 많아요,Plus,0.3
가성비,비싼만큼 가치가 있어요,Minus,0.15
가성비,주차하기 편해요,Minus,0.1